Date,Institution,BTC Acquired,Cumulative BTC,BTC Supply at Date,% Supply Owned
2020-08-11,MicroStrategy,21454,21454,3814200.0,0.005625
2020-09-15,MicroStrategy,16796,38250,3845700.0,0.009946
2020-12-04,MicroStrategy,25701,63951,3917700.0,0.016324
2025-07-29,MicroStrategy,21021,628791,5445900.0,0.115461
2021-02-08,Tesla,42902,42902,3977100.0,0.010787
2022-07-20,Tesla,-31700,11202,4451400.0,0.002517
2024-02-28,Block Inc.,8027,8027,4980600.0,0.001612
2025-06-25,Block Inc.,557,8584,5415300.0,0.001585
2021-09-07,Government of El Salvador,200,200,4167000.0,4.8e-05
2025-07-30,Government of El Salvador,6046,6246,5446800.0,0.001147
